EC number	KO
2.7.8.1	K00993
2.7.8.2	K00994
2.7.8.5	K00995
2.7.8.6	K00996
2.7.8.7	K00997
2.7.8.8	K00998
2.7.8.11	K00999
2.7.8.13	K01000
2.7.8.15	K01001
2.7.8.20	K01002
4.1.1.112	K01003
2.7.8.24	K01004
2.7.9.1	K01006
2.7.9.2	K01007
2.7.9.3	K01008
2.7.7.103	K01009
2.8.1.1	K01011
2.8.1.2	K01011
2.8.1.6	K01012
2.8.2.1	K01014
2.8.2.2	K01015
2.8.2.4	K01016
2.8.2.5	K01017
2.8.2.11	K01019
2.8.2.17	K01020
2.8.2.20	K01021
2.8.2.21	K01022
2.8.2.22	K01023
2.8.2.23	K01024
2.8.3.1	K01026
2.8.3.5	K01027
2.8.3.6	K01031
2.8.3.8	K01034
2.8.3.9	K01034
2.8.3.12	K01039
2.9.1.1	K01042
3.1.1.1	K01044
3.1.1.2	K01045
3.1.8.1	K01045
3.1.1.3	K01046
3.1.1.4	K01047
3.1.1.5	K01048
3.1.1.7	K01049
3.1.1.8	K01050
3.1.1.11	K01051
3.1.1.13	K01052
3.1.1.17	K01053
3.1.1.23	K01054
3.1.1.24	K01055
3.1.1.29	K01056
3.1.1.31	K01057
3.1.1.32	K01058
3.1.1.34	K01059
3.1.1.41	K01060
3.1.1.45	K01061
3.1.1.47	K01062
3.1.1.59	K01063
3.1.1.77	K01065
3.1.2.1	K01067
3.1.2.6	K01069
3.1.2.12	K01070
3.1.2.21	K01071
3.1.2.20	K01073
3.1.2.22	K01074
3.1.2.23	K01075
3.1.3.1	K01077
3.1.3.2	K01078
3.1.3.3	K01079
3.1.3.4	K01080
3.1.3.5	K01081
3.1.3.7	K01082
3.1.3.8	K01083
3.1.3.9	K01084
3.1.3.10	K01085
3.1.3.11	K01086
3.1.3.37	K01086
3.1.3.12	K01087
4.2.1.19	K01089
3.1.3.15	K01089
3.1.3.16	K01090
3.1.3.18	K01091
3.1.3.25	K01092
3.1.3.26	K01093
3.1.3.27	K01094
3.6.1.75	K01096
3.6.1.27	K01096
3.1.3.29	K01097
3.6.1.74	K01098
3.1.3.36	K01099
3.1.3.41	K01101
3.1.3.43	K01102
3.1.3.46	K01103
3.1.3.48	K01104
3.1.3.56	K01106
3.1.3.57	K01107
3.1.3.64	K01108
3.1.3.95	K01108
3.1.3.66	K01109
3.1.3.67	K01110
3.1.3.68	K01111
3.9.1.3	K01112
3.1.4.3	K01114
3.1.4.4	K01115
3.1.4.11	K01116
3.1.4.12	K01117
1.7.1.17	K01118
3.1.4.16	K01119
3.1.3.6	K01119
3.1.4.17	K01120
3.1.4.37	K01121
3.1.4.39	K01122
3.1.4.41	K01123
3.1.4.43	K01124
3.1.4.45	K01125
3.1.4.46	K01126
3.1.4.50	K01127
3.1.5.1	K01129
3.1.6.1	K01130
3.1.6.2	K01131
3.1.6.4	K01132
3.1.6.6	K01133
3.1.6.8	K01134
3.1.6.12	K01135
3.1.6.13	K01136
3.1.6.14	K01137
3.1.7.2	K01139
3.1.11.1	K01141
3.1.11.2	K01142
3.1.11.3	K01143
3.1.13.1	K01147
3.1.13.4	K01148
3.1.21.1	K01150
3.1.21.2	K01151
3.1.21.3	K01153
3.1.21.4	K01155
3.1.21.5	K01156
3.1.22.1	K01158
3.1.21.10	K01159
3.1.25.1	K01161
3.1.26.5	K01164
4.6.1.19	K01166
4.6.1.24	K01167
4.6.1.18	K01168
4.6.1.21	K01169
4.6.1.16	K01170
4.6.1.23	K01171
3.1.31.1	K01174
3.2.1.1	K01176
3.2.1.2	K01177
3.2.1.3	K01178
3.2.1.4	K01179
3.2.1.6	K01180
3.2.1.8	K01181
3.2.1.10	K01182
3.2.1.14	K01183
3.2.1.15	K01184
3.2.1.17	K01185
3.2.1.18	K01186
3.2.1.20	K01187
3.2.1.21	K01188
3.2.1.22	K01189
3.2.1.23	K01190
3.2.1.24	K01191
3.2.1.25	K01192
3.2.1.26	K01193
3.2.1.28	K01194
3.2.1.31	K01195
3.2.1.33	K01196
3.2.1.35	K01197
3.2.1.37	K01198
3.2.1.39	K01199
3.2.1.41	K01200
3.2.1.45	K01201
3.2.1.46	K01202
3.2.1.48	K01203
3.2.1.49	K01204
3.2.1.50	K01205
3.2.1.51	K01206
3.2.1.52	K01207
3.2.1.54	K01208
3.2.1.133	K01208
3.2.1.135	K01208
3.2.1.55	K01209
3.2.1.58	K01210
3.2.1.65	K01212
3.2.1.67	K01213
3.2.1.68	K01214
3.2.1.70	K01215
3.2.1.73	K01216
3.2.1.76	K01217
3.2.1.78	K01218
3.2.1.81	K01219
3.2.1.85	K01220
3.2.1.86	K01222
3.2.1.89	K01224
3.2.1.91	K01225
3.2.1.93	K01226
3.2.1.96	K01227
